pair,tf,filter,sl_buffer,rr,entry,trades,wins,losses,win_rate,profit_factor,total_pips,net_return,max_dd,avg_zone_age,wt_trades,wt_wr,wt_pf,wt_pips,ct_trades,ct_wr,ct_pf,ct_pips,bars,csv
AUDNZD,1H,none,10,2.0,bottom,41,26,15,63.4,3.35,437.5,43.9,3.9,102.8,29,65.5,3.76,346.6,12,58.3,2.51,90.9,21646,PEPPERSTONE_AUDNZD__60.csv
AUDNZD,1H,origination,10,2.0,bottom,41,23,18,56.1,2.41,330.0,31.6,6.8,118.5,41,56.1,2.41,330.0,0,0.0,999.0,0.0,21646,PEPPERSTONE_AUDNZD__60.csv
AUDNZD,1H,none,15,1.5,bottom,30,20,10,66.7,2.94,312.3,21.8,3.0,105.9,22,63.6,2.58,207.3,8,75.0,4.5,105.0,21646,PEPPERSTONE_AUDNZD__60.csv
AUDNZD,1H,origination,15,1.5,bottom,30,18,12,60.0,2.22,238.6,15.9,4.9,112.2,30,60.0,2.22,238.6,0,0.0,999.0,0.0,21646,PEPPERSTONE_AUDNZD__60.csv
AUDNZD,1H,none,15,1.8,bottom,30,17,13,56.7,2.3,272.6,18.8,3.0,105.9,22,59.1,2.51,224.6,8,50.0,1.8,48.0,21646,PEPPERSTONE_AUDNZD__60.csv
AUDNZD,1H,origination,15,1.8,bottom,30,17,13,56.7,2.29,275.1,18.8,4.9,112.2,30,56.7,2.29,275.1,0,0.0,999.0,0.0,21646,PEPPERSTONE_AUDNZD__60.csv
AUDNZD,1H,none,15,2.0,bottom,30,16,14,53.3,2.25,281.1,19.3,4.0,105.9,22,54.5,2.35,221.1,8,50.0,2.0,60.0,21646,PEPPERSTONE_AUDNZD__60.csv
AUDNZD,1H,origination,15,2.0,bottom,30,16,14,53.3,2.24,284.5,19.2,5.9,112.2,30,53.3,2.24,284.5,0,0.0,999.0,0.0,21646,PEPPERSTONE_AUDNZD__60.csv
AUDNZD,1H,none,20,1.5,bottom,,,,,,,,,,,,,,,,,,21646,PEPPERSTONE_AUDNZD__60.csv
AUDNZD,1H,origination,20,1.5,bottom,,,,,,,,,,,,,,,,,,21646,PEPPERSTONE_AUDNZD__60.csv
AUDNZD,1H,none,20,1.8,bottom,,,,,,,,,,,,,,,,,,21646,PEPPERSTONE_AUDNZD__60.csv
AUDNZD,1H,origination,20,1.8,bottom,,,,,,,,,,,,,,,,,,21646,PEPPERSTONE_AUDNZD__60.csv
AUDNZD,1H,none,20,2.0,bottom,,,,,,,,,,,,,,,,,,21646,PEPPERSTONE_AUDNZD__60.csv
AUDNZD,1H,origination,20,2.0,bottom,,,,,,,,,,,,,,,,,,21646,PEPPERSTONE_AUDNZD__60.csv
AUDUSD,2H,none,10,1.5,bottom,46,33,13,71.7,2.85,381.4,43.4,3.0,179.6,39,71.8,3.06,331.9,7,71.4,2.1,49.5,20129,PEPPERSTONE_AUDUSD__120.csv
AUDUSD,2H,origination,10,1.5,bottom,43,31,12,72.1,3.04,369.3,40.6,3.0,194.2,43,72.1,3.04,369.3,0,0.0,999.0,0.0,20129,PEPPERSTONE_AUDUSD__120.csv
AUDUSD,2H,none,10,1.8,bottom,46,30,16,65.2,2.49,372.9,45.4,5.1,179.6,39,64.1,2.48,304.5,7,71.4,2.53,68.4,20129,PEPPERSTONE_AUDUSD__120.csv
AUDUSD,2H,origination,10,1.8,bottom,43,28,15,65.1,2.57,353.3,41.7,4.2,194.2,43,65.1,2.57,353.3,0,0.0,999.0,0.0,20129,PEPPERSTONE_AUDUSD__120.csv
AUDUSD,2H,none,10,2.0,bottom,46,29,17,63.0,2.58,412.1,49.7,4.9,179.6,39,61.5,2.53,331.1,7,71.4,2.81,81.0,20129,PEPPERSTONE_AUDUSD__120.csv
AUDUSD,2H,origination,10,2.0,bottom,43,27,16,62.8,2.64,387.5,45.3,4.0,194.2,43,62.8,2.64,387.5,0,0.0,999.0,0.0,20129,PEPPERSTONE_AUDUSD__120.csv
AUDUSD,2H,none,15,1.5,bottom,46,26,20,56.5,1.74,283.0,20.5,5.4,179.6,39,56.4,1.78,243.5,7,57.1,1.57,39.5,20129,PEPPERSTONE_AUDUSD__120.csv
AUDUSD,2H,origination,15,1.5,bottom,43,25,18,58.1,1.88,298.4,21.1,3.5,194.2,43,58.1,1.88,298.4,0,0.0,999.0,0.0,20129,PEPPERSTONE_AUDUSD__120.csv
AUDUSD,2H,none,15,1.8,bottom,46,26,20,56.5,2.09,416.3,30.1,5.1,179.6,39,56.4,2.13,354.9,7,57.1,1.88,61.4,20129,PEPPERSTONE_AUDUSD__120.csv
AUDUSD,2H,origination,15,1.8,bottom,43,25,18,58.1,2.26,425.7,30.4,3.2,194.2,43,58.1,2.26,425.7,0,0.0,999.0,0.0,20129,PEPPERSTONE_AUDUSD__120.csv
AUDUSD,2H,none,15,2.0,bottom,46,25,21,54.3,2.16,460.0,32.9,4.9,179.6,39,53.8,2.17,384.0,7,57.1,2.09,76.0,20129,PEPPERSTONE_AUDUSD__120.csv
AUDUSD,2H,origination,15,2.0,bottom,43,23,20,53.5,2.14,420.4,29.0,3.9,194.2,43,53.5,2.14,420.4,0,0.0,999.0,0.0,20129,PEPPERSTONE_AUDUSD__120.csv
AUDUSD,2H,none,20,1.5,bottom,42,26,16,61.9,2.41,510.4,25.4,3.9,190.1,37,59.5,2.15,391.0,5,80.0,6.97,119.4,20129,PEPPERSTONE_AUDUSD__120.csv
AUDUSD,2H,origination,20,1.5,bottom,41,24,17,58.5,2.06,413.4,20.5,3.9,198.0,41,58.5,2.06,413.4,0,0.0,999.0,0.0,20129,PEPPERSTONE_AUDUSD__120.csv
AUDUSD,2H,none,20,1.8,bottom,41,20,21,48.8,1.67,317.3,15.7,6.8,194.7,36,44.4,1.37,170.1,5,80.0,8.36,147.2,20129,PEPPERSTONE_AUDUSD__120.csv
AUDUSD,2H,origination,20,1.8,bottom,40,17,23,42.5,1.29,150.9,7.5,6.8,202.9,40,42.5,1.29,150.9,0,0.0,999.0,0.0,20129,PEPPERSTONE_AUDUSD__120.csv
AUDUSD,2H,none,20,2.0,bottom,41,13,28,31.7,0.94,,,11.4,194.7,,,,,5,60.0,3.65,105.8,20129,PEPPERSTONE_AUDUSD__120.csv
AUDUSD,2H,origination,20,2.0,bottom,40,11,29,27.5,0.76,,,11.5,202.9,,,,,0,0.0,999.0,0.0,20129,PEPPERSTONE_AUDUSD__120.csv
AUDUSD,4H,none,10,1.5,bottom,35,25,10,71.4,2.99,329.9,31.2,2.0,119.7,26,65.4,2.16,180.0,9,88.9,15.99,149.9,12229,PEPPERSTONE_AUDUSD__240.csv
AUDUSD,4H,origination,10,1.5,bottom,32,20,12,62.5,1.88,187.4,19.4,2.0,164.6,32,62.5,1.88,187.4,0,0.0,999.0,0.0,12229,PEPPERSTONE_AUDUSD__240.csv
AUDUSD,4H,none,10,1.8,bottom,35,24,11,68.6,3.07,380.1,37.4,2.0,119.7,26,65.4,2.59,247.2,9,77.8,5.85,132.9,12229,PEPPERSTONE_AUDUSD__240.csv
AUDUSD,4H,origination,10,1.8,bottom,32,20,12,62.5,2.26,267.3,26.6,2.0,164.6,32,62.5,2.26,267.3,0,0.0,999.0,0.0,12229,PEPPERSTONE_AUDUSD__240.csv
AUDUSD,4H,none,10,2.0,bottom,35,24,11,68.6,3.42,442.8,44.0,2.0,119.7,26,65.4,2.87,292.0,9,77.8,6.5,150.8,12229,PEPPERSTONE_AUDUSD__240.csv
